コンテンツ,動画のタイトル,動画公開時刻,長さ,視聴回数
-psEgLmF0Ao,【成功する!?】冬にメンズ服で買った方がいいアイテム教えちゃいます。,"Dec 7, 2019",819,199034
FXIuJ8WHPP4,【失敗する!?】冬にメンズ服で買わない方がいいアイテム教えちゃいます。,"Dec 6, 2019",755,195674
aiCf2aBynIs,【冬本番】12月のファッションについて語ります。ボア？コート？ダウン？,"Dec 5, 2019",672,89643
IEOnZ9wkY5E,【プチプラ】えっそれGUなの！？絶対買うべき冬アイテムを徹底解説！！,"Dec 4, 2019",571,105854
JwLuojpevRE,服や部屋が臭かったら絶対に〇〇を買わなきゃだめ!? その理由と解説を紹介!!,"Dec 3, 2019",693,70693
XBdSqFpos0g,【GU 大量購入!!】絶対に失敗しない。冬アイテム徹底解説！３色買い決意したニットにパンツ！ジーユー好き必見！,"Dec 2, 2019",657,164922
hwYQdZTFl3s,リアル女子大生に嫌いな男子のファッションについて聞いたら意外な結果に！！,"Dec 1, 2019",611,100094
1vioEIHXnxA,【超リアル】一人暮らしの20代男子のモーニングルーティン,"Nov 30, 2019",901,146597
S4X10wDUL20,【初心者向け】冬に着ると一瞬でお洒落になる7つのトレンドを教えちゃいます。買い物の参考に。,"Nov 28, 2019",733,140323
YZnEmEHedAQ,【GUがもっと安く!?】急いで！今なら大量の冬服がお買い得に買えちゃいます！購入品紹介！,"Nov 27, 2019",865,124375
b6NCkzWKf9c,【半額セール!?】お気に入り腕時計を全部紹介します！ブラックフライデーキャンペーン!!急いで！,"Nov 26, 2019",580,53116
t_U0Qpl3ArA,【大量!大満足!!】GU購入品紹介！人気1位のアウターが凄かった！冬服コーデ！【プチプラ】,"Nov 25, 2019",639,178638
KmmvsTidPs0,【LIDNM(リドム)新作】冬の大本命アイテム！お洒落好きは見逃さないで！数量限定です！！,"Nov 24, 2019",841,50986
3VatV9XyZn8,【UNIQLO誕生感謝祭】急いで！！安くてかっこいいアイテムがお買い得に買えちゃいます！！,"Nov 23, 2019",733,127594
Suleo8aKDrk,ガチの男子大学生のファッション事情調査したら驚きの連発だった!!【UNIQLO POLO RALPH LAUREN】,"Nov 22, 2019",1255,288836
A8YKRS63zNU,【パーカー】失敗しないパーカーの着回し方法を教えちゃいます！GU、UNIQLO、プチプラ,"Nov 21, 2019",659,141647
Pw_LCiIjPsY,【アウター】冬に欲しい着回し最高アイテム3つはこれだ！！,"Nov 20, 2019",513,95719
sc-qS9j9sGs,【ルームツアー】一人暮らしの男子社会人の部屋紹介！鉄板の黄金カラー教えちゃいます。,"Nov 19, 2019",641,91147
4h2ag5vyBNI,【購入品紹介】GUで今買うべき３つの冬服アイテムはこれだ！まじで急いだ方がいい。,"Nov 18, 2019",741,348148
VQWRU0eDPPw,男性の秋冬のコートの着回し方教えちゃいます。実は3つのポイントだけ！？LIDNM（リドム）,"Nov 17, 2019",730,91522
gK1G6oyA3aU,【本音で】視聴者さんの秋冬コーデを一斉に集めて評価してみた！！第一回！！,"Nov 16, 2019",855,59504
F8BBpIM_L70,【冬の仕度！】今から冬までに揃えとくべきメンズ必須の小物とは!? アクセサリー好き必見!!LIDNM(リドム),"Nov 15, 2019",816,61456
mLdFtWeCa_Q,【必ずご確認ください】冬に向けて絶対にやるべき超重要なこと。簡単にお洒落になれます。,"Nov 14, 2019",648,63642
rcUnupPXAwc,【ボア】安くてかっこいい冬服5点を紹介！パデッドジャケットからニットまで！,"Nov 13, 2019",511,149808
E8p8R9DY9e8,【新居紹介】引っ越したので遂にルームツアー！靴箱やクローゼットまで！,"Nov 12, 2019",876,95946
ciI9jrxUIaY,【お買い物】お洒落なセレクトショップで最新のアイテム見てきた！！,"Nov 10, 2019",454,54862
KpReVJM4azw,【初心者必見】秋冬のコーディネート方法を徹底解説！！これでもう悩まない！！,"Nov 8, 2019",802,104059
dQDc5PMIoiI,【お買い得】GU＆ユニクロ購入品紹介！！今押さえるべきアイテムとは！？,"Nov 7, 2019",1058,205620
m9vGwIVUfjY,ファッション初心者が今絶対に買うべきアイテム5つはこれだ!! 誰でも簡単に変われます。,"Nov 6, 2019",650,112054
FYbQS3WDdcI,【お買い物】今話題のお洒落なショップに行ってきた！！げんじは何を買う！？,"Nov 5, 2019",572,48753
X7-6Iz46zmI,【秋冬必須】GUのパーカーってぶっちゃけどうなの！？購入品紹介！！,"Nov 4, 2019",301,94172
2W9Mtqnde8E,【プチプラ】安いのに最高なブランドを3つ紹介します！！,"Nov 2, 2019",595,88409
lBNOCDqVhDc,げんじが11月にしたいファッションとは!?知っておくべき今しか楽しめないファッションって？？,"Nov 1, 2019",558,89106
1VnDKz56298,【UNIQLO GU以外】お勧めの冬アウターを紹介します！！,"Oct 30, 2019",529,80314
QiWOGSOcUvA,【厳選‼】10月のお気に入りをご紹介！！！今月は◯◯◯が多め！？,"Oct 29, 2019",460,67631
JFOOTGR5epo,【GU】秋冬アイテム大量購入!!絶対買いの激安アウター教えちゃいます!!,"Oct 28, 2019",822,154778
d7yXDjvuBUw,【絶対に欲しい】大学やデートにも使える！着回し最高トップス3点レビュー!!,"Oct 26, 2019",559,85010
BXdkXzx3CIU,【幼く見られてない??】男心をくすぐる愛しい小物たちを紹介！,"Oct 25, 2019",494,44448
Uvb5w5LTHmU,【秋冬の仕度！】今から冬までに揃えとくべき3種類のパンツとは!?LIDNM(リドム),"Oct 24, 2019",540,109928
tic0DAoKr4I,【ARKnets】アウター パーカーなど新作大量購入！10万円分ガチお買い物！,"Oct 23, 2019",897,68937
PuuvK3xpco0,お洒落な人がみんな行ってるショップで10万円分ガチ買い物！げんじが大興奮の理由とは！？,"Oct 22, 2019",813,87106
dbsDtuJJJaQ,【コーデバトル】UNIQLOとGUだけで6コーデ組んでみた！合計1万円以下コーデ！,"Oct 21, 2019",817,169530
d63RT9lkeUk,【安くてかっこいい】秋冬に買うべき12個のアイテムを一気に教えちゃいます！！,"Oct 20, 2019",639,95821
qG2lpOKuxhw,今すぐ使える秋冬のメンズファッションの大事な所だけで教えちゃいます。即効性やばいです。,"Oct 19, 2019",580,107475
cZ6DuKMd0lk,【冬へ】明日から使える人気ブランドの洋服3点教えちゃいます。【ZOZOTOWN】,"Oct 18, 2019",405,84629
g5rZ6XnGoA8,【プチプラ卒業!?】高すぎないけど安すぎないブランド3選!!,"Oct 17, 2019",645,81188
-M0A3-bGm3w,【学生必見!!】超安いのに最高なブランドを5つ紹介！！最新版！！,"Oct 14, 2019",589,134477
vD1oTSAYeno,【安い！】ずっと欲しかったアイテムを遂に購入！これは絶対買い！,"Oct 13, 2019",666,95628
S-QPsg8CRlw,【絶対買い】絶対失敗しない！ボアジャケットの選ぶポイントとは！？ ※完売しました。LIDNM(リドム),"Oct 12, 2019",629,130064
JOMyx-EqUfc,【秋冬に!!】個人的に最もお勧めするアウター教えちゃいます。LIDNM(リドム),"Oct 11, 2019",754,99918
mYk2QSzYTHo,チェスターコートの失敗しない選び方教えちゃいます！！LIDNM(リドム),"Oct 10, 2019",601,110901
lkRDP2wYIkQ,【超初級】そもそも秋冬のアウターって何があるの?? 何を買えばいいのか教えちゃいます。2019年ver,"Oct 9, 2019",650,152019
6T2HWUFs4tk,【本音レビュー】秋冬に使えるKANGOL(カンゴール)のアイテムを3点紹介！ZOZOで大人気！,"Oct 8, 2019",729,149687
Qry2VshHPEg,【ニットの選び方】冬に向けて絶対買うべきカラーとシルエットとは!? 完売ニット再販しました！！LIDNM(リドム),"Oct 6, 2019",603,115256
jIIxeJEoCkM,"LIDNM ""2019 Winter Collection""(official Movie)","Oct 6, 2019",52,13194
nB80GsqSgJo,【失敗する!?】メンズ服で買わない方がいいアイテム教えちゃいます。第二弾!!,"Oct 4, 2019",738,344349
rcsZcyDriyE,男子が着たら絶対にお洒落に見える洋服7つはこれ!! 男子でモテたい人必見!!,"Oct 3, 2019",562,137184
GCrOqdUpHo0,私の最近のバッグの中身をお見せします。THE NORTH FACE リュックサック!!,"Oct 1, 2019",496,100441
0rFxHaqpt7M,"LIDNM ""2019 Autumn Collection""(official Movie)","Sep 30, 2019",38,13826
gfFfaK4VxY0,【その服で大丈夫??】成功する男のデート服を3点教えちゃいます。,"Sep 29, 2019",773,73891
hLnDfb-7Ldg,【UNIQLO U】絶対買った方がいい5点と見送るべきアイテム！総合評価編！！,"Sep 28, 2019",568,116338
uWAkZa5xRj4,【秋の大学生】男女問わず支持が高い5つのアイテム教えちゃいます。,"Sep 27, 2019",691,94293
I_p2TS8jAgM,【腕時計】ウソみたいだろ。ダニエルウェリントンなんだぜ。これ。【kemio】,"Sep 25, 2019",572,67640
-W4ZughWEm8,【UNIQLO U】安いのに最高すぎた新作パンツ/ニットを紹介!! 黒スキニーの次に買うべきはこれだ!!,"Sep 24, 2019",923,214581
wawSvNYi2vc,メンズファッションが何倍も楽しくなる方法教えちゃいます。,"Sep 23, 2019",707,69410
y7i-Q_xBLiU,【秋服6点】UNIQLOとGU以外のブランドも知りたい方限定動画,"Sep 22, 2019",674,103710
cNGqF-CwnjA,【UNIQLO U】絶対に失敗しない！秋のアイテム徹底解説！厳選した7点！,"Sep 21, 2019",781,270847
8F7-0QJUNZM,【UNIQLO U】ユニクロが過去最高傑作を大量リリース!! 絶対買いアイテムはこれだ!!,"Sep 20, 2019",909,244115
8QqUKgBTSLE,LIDNM新作一挙大公開スペシャル!! 秋はコートが正直モテるよ(小声) UNIQLO Uの動画も見てね!!LIDNM(リドム),"Sep 20, 2019",971,50266
1Pgbrofmgfo,【ZOZO】やばいwめっちゃお気に入りパーカー買ったwwwww,"Sep 19, 2019",692,74383
tq1GchLM5eA,【男性必見】実はめっちゃ嫌われやすいSNSの行動について教えちゃいます！マリナちゃんコラボ第二弾！,"Sep 17, 2019",548,78241
p0wQhF5nmvg,【GU】超安い新作の秋アウター4つ購入！ガチレビューします！星何点！？,"Sep 16, 2019",944,142110
q56Ub0ZYox4,【超意外!?】女子に夏から秋のNGファッション聞いてみた!! ハーフパンツと古着は○○らしい!!,"Sep 15, 2019",638,116081
JlL0ZzKM4MM,【UNIQLO U】ユニクロユー秋冬新作アイテムで絶対買うべきアイテム教えちゃいます。ニット、ボア、パンツ編!!,"Sep 14, 2019",1080,91832
29QoT23POZY,【UNIQLO U】ユニクロユー秋冬新作アイテムで絶対買うべきアイテム教えちゃいます。アウター、ルック編!!,"Sep 13, 2019",973,109165
pkzCZQTStMY,【大乱闘】まだ誰も知らない新鋭のファッションYouTuber紹介します！！,"Sep 12, 2019",476,84546
ur00bciZql8,【マストバイ】秋冬の新定番!?持っておくと超便利なシャツジャケットを教えます!!,"Sep 11, 2019",323,72146
LrFW-eHPAFo,【トレンド解説】忙しい人に流行りのファッションを最短で世界一分かりやすく教えちゃいます。,"Sep 10, 2019",947,85700
YGvIxhDm1ho,【知らなきゃ損】コーデに必須！！万能なバッグを7点教えちゃいます！！,"Sep 9, 2019",783,114607
FldvEQSTr38,大人気カンゴールの新作が超安いのにコスパが最高だった！！チェックシャツ！,"Sep 8, 2019",427,77657
7x9VTp7D0i4,【急いで‼】LIDNM(リドム)の今年の秋服の新作第一弾を全て紹介します。LIDNM(リドム),"Sep 7, 2019",570,44582
1AAbcn3LIuY,【秋】メンズ大注目の話題の秋アウターが凄かった！ニットも紹介します！LIDNM(リドム),"Sep 6, 2019",645,63677
wrHAEA_EU_U,【忙しい人向け】今あるトレンド最短で教えちゃいます！カラーとスタイル編!! お買い物の参考に!!,"Sep 5, 2019",578,104549
HTBJXUA3occ,【秋服】男子がモテるのどっちの柄！？ストライプ VS チェック!!LIDNM(リドム),"Sep 4, 2019",573,49926
ZcVBr9TcOQ8,【秋ファッション】今年はオープンカラーシャツではなくバンドカラーシャツ！？ お気に入りのニットベストも!!LIDNM(リドム),"Sep 3, 2019",815,71473
QyRlWjmC4qA,GUの最新アイテムが超安くてかっこいい件!!今何買えばいいのか教えちゃいます。,"Sep 2, 2019",649,153118
u_HB2DzW6a4,【必見‼】今買うべき神アイテム7選‼こっそり教えちゃいます。,"Sep 1, 2019",610,77526
uAu_IqpbtEQ,【シャツ？アウター？】秋に向けて絶対買いな秋服を3つ紹介します！！チェックパンツも！,"Aug 31, 2019",699,67567
ka-LAJKTDbY,【リュックの次はこれだ】個人的に大好きな一年中使えるショルダーバッグ!!LIDNM2019AW先行受注会まであと8日!!LIDNM(リドム),"Aug 30, 2019",697,49454
P1opWJZP6HA,【ご報告】9割の人からお洒落と言われる法則。遂に出版決定！,"Aug 30, 2019",253,24382
zxWU-5mlRUo,ぜ...絶対欲しいブランドの秋服を知って欲しい...。,"Aug 29, 2019",523,73211
aKLmPiWVHsU,【超重要】秋ファッションの重要ポイント5つ教えちゃいます。LIDNM(リドム),"Aug 28, 2019",481,151816
EcVSLbnOmk0,【メガヒット中！】世界3000店で展開中の注目時計が日本上陸！世界的人気の理由とは!?,"Aug 27, 2019",564,38276
G88S6GIPIOo,【超意外】男性がモテるポイント5つ聞いてみた！！まさかのTikTokerマリナちゃんコラボ！,"Aug 25, 2019",627,71555
Lm_VEo5-NXo,【遂に】秋のアウターどれが良いのか特別に教えちゃいます。 お洒落な人はもう秋を意識！？LIDNM(リドム),"Aug 24, 2019",723,100950
b4OggdjPXTk,ファッション初心者が見落としがちな秋に向け買うべきアイテムとは！？,"Aug 23, 2019",491,66451
3E-Ty4zIPYg,【ZARA】かっこ良すぎる最新アイテムを大量紹介!! 秋冬のトレンドも解説します!!,"Aug 22, 2019",793,118058
o95RCHz_Gqc,【UNIQLO U!?】超安いのに神シルエットな新作デニムが絶対買いだった!! ユニクロ購入品レビュー!!,"Aug 21, 2019",563,273031
CF25afVVR4o,年上女性を落とす3つのポイント！！恋愛トーク！！with しおり,"Aug 18, 2019",484,95538
_n6bRPuv22E,【トレンド】今絶対に買うべきバッグ教えちゃいます。LIDNM LIDNM(リドム),"Aug 17, 2019",476,105357
DQfw6lALoIA,げんじのここ最近のファッションについて。,"Aug 16, 2019",774,61543
2K2kprmc-vA,【意外!?】イケメンじゃなくても雰囲気だけで何故かモテる男性の特徴教えちゃいます。,"Aug 15, 2019",623,87395
Uzp7WiDq9t0,【夏服?秋服?】8月にメンズ服は何買うと正解なのか教えちゃいます,"Aug 14, 2019",613,103070
p3yLyxqvA_4,【夏服3万円分】ZOZOで欲しかったシャツを遂に買った！購入品レビュー！,"Aug 11, 2019",667,76206
iL9WMUx5Sqc,【絶対即完売するレベル】コスパ高すぎて4枚買ったTシャツとは！？FREAK‘S STORE 夏SALE！,"Aug 9, 2019",612,84621
LJgEJfXIe7k,【隠れて見て】女子の好きなメンズファッションが超意外だった!! 植村梓コラボ後編!!,"Aug 7, 2019",590,90351
1yO0U4OF_LU,【超重要】ファッションで買わなきゃいけないアイテムとは？ 〇〇で安いから絶対これ！！,"Aug 5, 2019",704,95699
r2sSRLW2Rmw,【知らなきゃ男の恥】スーツの絶対失敗しない選び方教えちゃいます。 オーダースーツ編‼,"Aug 3, 2019",1260,46666
HM14u22aMUk,【かっこいい!!】女子が絶対に惚れちゃう男子コーデ5選はこれ♡♡ with 植村梓,"Aug 2, 2019",550,106865
oXdw32gr95Q,【お買い物】アウトレットモールで爆買いしてきた!!プレゼント企画もあるよ!!,"Jul 30, 2019",1268,169583
6tN2Qi_yJbU,UNIQLOをユニクロっぽく見せない方法教えます。感動ジャケットを4XLサイズで購入してみた！,"Jul 29, 2019",429,91671
qWNi4mPwrTM,【絶対買い!!】通販で買える韓国ファッションのアイテムを教えちゃいます!!,"Jul 28, 2019",526,101311
kDIkkQlGZaE,【夏コーデの新定番】真夏のコーデに欠かせない必須の最強シャツがセールで買えちゃう!?,"Jul 26, 2019",566,78539
BTP3tnfWlMI,【数量限定!!】絶対押さえたい!!使いまわし力抜群の時計×ブレスセットをご紹介!!,"Jul 24, 2019",622,44656
cKTmovRzCuM,【究極の選択】UNIQLOの夏服/GUの秋服あなたならどっち買う？新作レビュー！,"Jul 22, 2019",515,98905
z94a5AFLQXY,【意外】女の子に男子に惚れる瞬間聞いたら回答がやばすぎたwww,"Jul 21, 2019",353,70465
eEppk948Jt0,【絶対買い!!】今持っておくべき着回し最強スラックスをご紹介!! LIDNM TAPERED ANKLE SLACKS!! LIDNM(リドム),"Jul 19, 2019",688,143080
ZdGHIegv8WE,【それは反則!!】女の子が男性にキュンとしちゃう○○とは!?浴衣女子に聞いてきた!!,"Jul 14, 2019",606,45939
52byXuHUigM,【モテる】イケメンじゃないのに何故かモテちゃう男性の特徴教えちゃいます。#01,"Jul 13, 2019",776,89248
vAnSlk8Jk8A,この先絶対に知らなきゃいけないブランド11選！お洒落な人はもう秋を！？,"Jul 12, 2019",1008,59966
Fm5Y-KIWWIc,【永久保存版】白Tとデニムだけで簡単にお洒落に見せる5つの方法！,"Jul 11, 2019",767,132450
3vJu6ieB_00,絶対にモテたい男性の方のみ見てください。,"Jul 10, 2019",870,76371
eBii5go9AWw,【超意外！】女子に夏のNGファッション聞いてみた‼︎ ハーフパンツは...??  可愛い子多数！！,"Jul 9, 2019",660,331642
zpIuJePPNyQ,【急いで!!】ユニクロの新作アイテムが絶対買い！超安いのにかっこいい!?,"Jul 8, 2019",665,108295
PlEhBEtfy1w,【絶対これ買い!!】最新のキャスパーの夏の新作が超安いのにかっこよかった。。。,"Jul 7, 2019",522,78981
AQLtGRwpJY4,【衝撃映像】サンダル買いすぎたから全部紹介するわwwww,"Jul 6, 2019",1017,74913
73G9XtUD_ZM,本当は教えたくない今、絶対買うべきブランドとは!?【確実にモテるアイテム!?】,"Jul 5, 2019",611,55601
vmWmkHIXxm0,モテる人全員持ってる!? 白Tシャツの使い方や選び方を大公開!! LIDNM OVER SIZED T-SHIRT !! LIDNM(リドム),"Jul 4, 2019",698,100348
dyePJ4SDuW4,げんじが7月に絶対したいファッションとは！？夏終わる前に〇〇を！？,"Jul 3, 2019",455,91498
sVlJUB7kq4s,皆さまにご報告がございます。,"Jul 2, 2019",429,289595
41YDo4MDEBE,"【GU】超良いと話題！¥1,990で買えちゃうサンダルって実際どうなの？ 本音でレビュー！！","Jul 1, 2019",605,65697
D_s1dvxCJBY,【世界へ】げんじと一緒に動画を作ってくれる人を募集します！！ 本日2本投稿！！,"Jul 1, 2019",319,10983
zmaODdwCR_M,【今欲しい!!】夏におさえるべき必須のアイテム3点教えちゃいます。,"Jun 30, 2019",484,94355
JNVw-MdddoM,いま絶対知っとくべき神トップスを紹介！白Tだけでは絶対ダメ！？LIDNM(リドム),"Jun 29, 2019",669,126181
sDNHxSIPA9I,【夏本番】超安いのに絶対モテる浴衣とは！？ この夏を楽しんで！！,"Jun 28, 2019",595,37921
L_1TqouMa38,【マストバイ】夏の決定版見つけてしまいました。6月のお気に入り!! 購入品レビュー!!,"Jun 27, 2019",628,68955
rOfqgZpOQEc,本当は教えたくない今、絶対買うべきパンツとは!?【通年使えるアイテム!?】LIDNM(リドム),"Jun 26, 2019",343,127460
eLLIwxJPTaA,【絶対買い】げんじが毎日着けてる2種類の腕時計を紹介します。これやばい。,"Jun 24, 2019",489,64818
Cvu2YD-zbBU,【GU】ジーユーの知らないと損するアイテムはこれ!!購入品レビュー!! サイズ比較します!!,"Jun 23, 2019",645,170622
8IPLGtzTRsM,【夏の必需品】ZOZOTOWNでTシャツ5枚買ってみた!!,"Jun 22, 2019",772,108325
kLaOfPDNLhM,【トレンド】夏のロゴTはこれだ！ZOZOTOWNで買える人気ブランドロゴTの着こなし紹介◎,"Jun 20, 2019",509,106748
8UfFhmBuELw,【UNIQLO】夏服の安くかっこいいアイテム購入したら神アイテムが勢揃いだった件！！,"Jun 17, 2019",541,127643
zam79fO4PJE,【私服100点売ります】いらなくなった洋服は絶対ラクマに！その理由とは！？,"Jun 16, 2019",870,79738
IYKIa2Iox-Q,【絶対買い】夏コーデに欠かせない○○!!おすすめの色も教えます!!LIDNM(リドム),"Jun 15, 2019",836,86332
WNL-VpkTZ_s,【夏へ!!】今のうちに押さえるべき夏コーデの法則とは!? 黒白青 後編!!,"Jun 14, 2019",621,86790
A5sCfKxG6Zk,【5選】初心者が失敗するメンズファッションの選び方とは!? 洋服着たことある人限定!!,"Jun 13, 2019",736,160000
fRb4M5hxSFY,【一瞬で変わる】6月カッコよくなるコーデ方法を教えちゃいます。ベーシック編!!,"Jun 11, 2019",712,93220
SoN9fS8fdtw,【GU】絶対買いな夏の新作5点はこれだ!! 購入品レビュー!! プチプラMonday!!,"Jun 10, 2019",556,202646
ABny6WWs43w,ファッションYouTuberが持ってるアクセサリー全部紹介します。,"Jun 8, 2019",644,131373
WD6_hcMXpoQ,【夏服限定】シャツで悩んだらこれ!! Tシャツ1枚で過ごすのは危険!?,"Jun 7, 2019",334,98236
ZLEDHDOPunM,げんじが6月に絶対したいファッションとは！？夏も目前！！,"Jun 6, 2019",446,96485
NvoyAr9jV6o,【必須テク】夏コーデが劇的にお洒落になるちょいテク教えちゃいます。LIDNM(リドム),"Jun 5, 2019",864,135608
T_Dd4N69NFE,【緊急】東京五輪のボランティアの服装がダサいと話題に。。解説します！,"Jun 4, 2019",787,38764
UR6u7NxanV0,【急いで】H&Mの夏の新作がぶっちゃけ神アイテムだらけだった!! 購入品紹介!!,"Jun 3, 2019",718,120065
pEjMQEkg29g,【サッカー好き必見】世界中で話題のあのブランドがやばすぎた！！,"Jun 1, 2019",728,96607
B1Bp8f4a2MI,【夏もお洒落に】女子からモテる夏コーデのコツを徹底解説します!! ５月のお気に入りコーデ編!!,"May 30, 2019",696,136567
y9I1FlFcu28,【夏のファッション】げんじのお気に入りの夏アイテム7選はこれだ!! Tシャツ/デニム,"May 29, 2019",653,115131
V0fgmdEV8QI,【今欲しい!!】夏におさえるべき必須の最強メンズアイテムとは!? 急いで!!LIDNM(リドム),"May 28, 2019",812,296632
A7LNkMlinNg,【夏だ】1枚で簡単にお洒落にかっこよくなるアイテム揃えました！！,"May 26, 2019",533,115822
FPIX9lHWehM,【完売続出！】世界で大HITしすぎて日本上陸が遅れた時計を特別に教えます。,"May 24, 2019",581,105674
MKKhUBApFmk,【衝撃】女子が男性にキュンとする瞬間が意外すぎた。。。!!,"May 22, 2019",283,80752
jF2km4pY2EE,【凄すぎる】コスパ最強！夏に着たいトレンドアイテムはこれです。,"May 21, 2019",476,131280
gOSvllfR0WM,【ご報告】この度『LIDNM』再スタートします。,"May 19, 2019",593,104351
Q1E-UWtNwAY,夏ってなに買えばいいの？この先メンズで絶対必要になるアイテムはこれだ!!,"May 18, 2019",533,140497
DDbYIhwdQF4,夏の必須アイテムでこれは絶対買い!! 最高なTシャツにパンツまで!!急いで!!,"May 16, 2019",570,146422
eAchE_CSU0o,【注意】洋服を買う前に気をつけるべき重要ポイントとは？,"May 14, 2019",741,111701
A4Eh7D81xIQ,【夏来る前にマジで】今UNIQLOで買い物するなら絶対これだ!! 完売必須アイテムを紹介!!,"May 13, 2019",523,186579
QOyMOj91Q1E,【女の本音】男性のウザい瞬間を聞いたら超意外な回答が。。。SNSで◯◯はダメ！？,"May 12, 2019",379,79197
C0AWb4xPfsI,【秘密】本物のDr.Martensが超安く買えちゃうヤバい方法教えちゃいます。【ドクターマーチン】,"May 10, 2019",416,193955
UTpbEa0xpPw,【夏必須】男なら100%買うべき3つのアイテムはこれだ！！,"May 8, 2019",835,272798
U_vS8qPfbCU,【男のデート服】安くても失敗しないコーデ方法を教えちゃいます。,"May 7, 2019",548,111132
_oblNOvFNxk,【夏でも着れる！】ユニクロの新作アイテムが絶対買い！超安いのにかっこいい!?,"May 6, 2019",532,227781
fphzddmgNXU,【衝撃】UNIQLOを安く見せない方法が凄すぎた！3つのポイントとは！？,"May 4, 2019",617,145492
ttDPKSthDfs,げんじが5月に絶対したいファッションとは！？夏に向けて〇〇を！？,"May 3, 2019",614,130218
-ekfsp2eTnQ,【ご報告】ファッションYouTuberを育成します。,"May 2, 2019",687,75029
3lDU3i0ng0c,【今欲しい!!】初夏におさえるべき必須の最強リラックスシャツとは!?,"May 1, 2019",606,168580
3AQOoHsao_Q,【最高】げんじの4月のお気に入り5位→1位！平成ありがとうございました！！,"Apr 30, 2019",633,94931
aRXjnPhIhLg,【検証】GUってぶっちゃけ1万円でどれくらい買えんの？まさかの結果に一同驚愕。。。,"Apr 29, 2019",554,102723
NUz3azhYlzM,【失敗する!?】メンズ服で買わない方がいいアイテム教えちゃいます。,"Apr 28, 2019",657,609902
CB_xdT0h-fE,【RAGEBLUE】大人気！絶対買いの新作と本当は教えたくない最高なアイテム！,"Apr 27, 2019",599,93079
YWfO3056x40,【貸し切り】最新のトレンドをゲットするならZARAがお勧め！！,"Apr 26, 2019",897,144125
UMgVF961ITg,【プチプラ】安くかっこいいモテるコーデのやり方教えちゃいます。UNIQLO、GUでコーデ!!,"Apr 25, 2019",580,123455
uxcg5N0lOUo,【夏へ!!】今ZOZOTOWNで買うなら絶対これ!!人気のブランドを超安い価格で買えちゃう!?,"Apr 24, 2019",669,128791
vjuUlJDCADk,【調査】男性の黒マスクぶっちゃけどう？賛成??反対??実際に調査したら驚きの結果に!!,"Apr 23, 2019",466,84540
8-o6GetONMM,【男性必見】大人気ブランドHAREで買うならこの4つ!! 即完したあのアイテムも!?,"Apr 22, 2019",883,149201
jBFJtmgBuRs,【意外】女性に男性の引くポイントを聞いたら回答がエグすぎたwww,"Apr 20, 2019",739,298842
tL0aTezSQ8w,【売れ切れ続出】今話題の無名ブランド!? その全貌とは!?腕時計紹介!!,"Apr 19, 2019",760,78681
AjhGACdR91g,【購入品】UNIQLOとノースフェイスのアウター選ぶならどっちがいい？,"Apr 18, 2019",629,237738
hG3HPNXv_EE,超可愛い子にGUで着て欲しいのを聞いたら参考になりすぎたwwwww 【ほげちゃん/カマタク】,"Apr 17, 2019",724,208914
k5-iuzWuQSU,街の女子にイケメンじゃなくても好きになる秘訣を聞いたら回答がエグすぎたwww,"Apr 15, 2019",714,381311
opichmBuWzQ,【絶対買い】GUの安いのにかっこいいアイテムがやばすぎた!!,"Apr 14, 2019",605,173577
ejQirwqZmzA,【あれが!?】女子に春のNGファッション聞いてみた！チェックシャツは◯◯らしい！！！,"Apr 13, 2019",793,403129
j6UIDlYeGYU,【初夏の仕度！】今から夏までに揃えとくべき３つのパンツとは!?,"Apr 12, 2019",528,186624
ae_NTE6QgOk,【破産】120万円分爆買い企画！！何買ったか発表します！！LA_Vlog_day3,"Apr 11, 2019",610,132865
TFjjmwJJ04g,【モテ確定】スタイル抜群に見える三種の神器はこれだった！,"Apr 10, 2019",358,80428
MbOAokxzoFg,【UNIQLO】ユニクロの知らないと損するアイテムはこれ!!購入品レビュー!! サイズ比較します!!,"Apr 9, 2019",694,277605
i9BHs3Xlc4k,"【大注目】25,000円分の春服を購入したら色んな意味でヤバかった・・・”ベストでカーキは僕ちんには早かった編”","Apr 8, 2019",721,92190
SajK-JLjDNo,【げちぱねぇ!!】春夏の超かっこいい購入品を９点ご紹介!! レビューします！前編,"Apr 7, 2019",627,118015
Y-tZThpDlUI,【服以外!?】超おすすめ日用品を24個一気に紹介!!香水、便利グッズ!! 後編!!,"Apr 6, 2019",838,91629
j6DfRMvUBPQ,【即完売の予感…】着回し最強で超使えるアイテム３点ご紹介!!,"Apr 5, 2019",858,156995
7v4FBE5XWYQ,【服以外!?】超おすすめファッションアイテムを24個一気に紹介!!ワックス、香水!! 前編!!,"Apr 4, 2019",807,99817
DVVnioDV8cY,【ZOZOで速攻買える⁉】安くて使える最強アイテムはこれ！着回し力◎ 夏シャツ、ワイドパンツ,"Apr 3, 2019",419,97683
gFQkxNtcf6c,げんじが4月に絶対したいファッションとは！？遂にあれを解禁！？,"Apr 2, 2019",478,111495
zWSoofFgXZU,【知らないとヤバい?】お洒落な人が実践してるお買い物のコツ教えちゃいます。参考になったら高評価!!,"Apr 1, 2019",481,68786
